"varCode","varLabel"
"authid","unique author ID (arbitrary)"
"uid","unique publication ID (matching list of publications)"
"name","full name"
"url","ScienceDirect URL"
"email","e-mail"
"affid","affiliation ID on web page (ignore)"
"aff","affiliation"
"rank","author rank in publication"
"institution","CGIAR center affiliation"
